"Sokoke","Kenya","Natural","","Short","Classic tabby with ticking",""
"Somali","Somalia","Mutation","","Long","Ticked",""
"Sphynx","Canada","Mutation","Stocky","Hairless","All",""
"Suphalak","Thailand","Natural","","Short","Solid",""
"Thai","Thailand","Natural","","Short","Colorpoint",""
"Thai Lilac","Thailand","Natural","","Short","Solid",""
"Tonkinese","Canada","Crossbreed","","Short","Colorpoint/Mink/Solid",""
"Toyger","United States","Crossbreed","Moderate","Short","Mackerel",""
"Turkish Angora","Turkey","Natural","","Semi-long","All but colorpoint",""
"Turkish Van","developed in the United Kingdom (founding stock from Turkey)","Natural","","Semi-long","Van",""
"Ukrainian Levkoy","Ukraine","","","Hairless","",""
